ReactionG_PD_Edges,ReactionG_PD_Vertices,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeMEAN,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PD_Density,ReactionG_PD_Reciprocity,SpeciesG_PD_Edges,SpeciesG_PD_Vertices,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
156,32,2,9,4.875,2,11,4.875,3,18,8.40625,7,0,0,0.15234375,0.801282051,45,32,0,7,1.40625,0,4,1.40625,1,9,2.8125,7,5,0,0.043945313,0.266666667,1024,2,2.40625,4,77,2,2.40625,4,77,PLASMA
89,36,1,4,2.472222222,1,4,2.472222222,2,7,3.944444444,11,0,0,0.06867284,0.719101124,36,41,0,2,0.87804878,0,2,0.87804878,1,4,1.756097561,11,1,0,0.021415824,0.222222222,1476,2,2,2,72,2,2,2,72,PLASMA
81,36,1,5,2.25,1,4,2.25,2,8,3.5,11,0,0,0.0625,0.691358025,36,43,0,3,0.837209302,0,2,0.837209302,1,4,1.674418605,11,1,0,0.019469984,0,1548,2,2,2,72,2,2,2,72,PLASMA
199,34,2,15,5.852941176,1,15,5.852941176,2,22,10.23529412,3,3,0,0.172145329,0.64321608,63,31,1,5,2.032258065,0,7,2.032258065,1,9,4.064516129,3,3,0,0.065556712,0.476190476,1054,2,2.823529412,6,96,2,2.823529412,6,96,PLASMA
285,32,4,13,8.90625,2,19,8.90625,6,28,16.09375,1,0,0,0.278320313,0.642105263,81,28,1,7,2.892857143,0,7,2.892857143,3,14,5.785714286,1,0,0,0.103316327,0.518518519,896,3,3.375,4,108,3,3.375,4,108,PLASMA
206,35,2,11,5.885714286,1,13,5.885714286,2,21,10.25714286,1,1,0,0.168163265,0.655339806,72,34,0,10,2.117647059,0,10,2.117647059,0,13,4.235294118,2,4,0,0.062283737,0.055555556,1190,2,2.8,4,98,2,2.8,4,98,PLASMA
305,33,2,18,9.242424242,2,19,9.242424242,3,30,16.42424242,1,0,0,0.280073462,0.740983607,86,34,0,8,2.529411765,0,10,2.529411765,1,14,4.794117647,1,1,0,0.074394464,0.244186047,1122,2,3.333333333,5,110,2,3.333333333,5,110,PLASMA
229,39,1,12,5.871794872,1,21,5.871794872,1,31,10.64102564,5,0,0,0.150558843,0.668122271,47,29,0,5,1.620689655,0,9,1.620689655,1,14,3.24137931,5,0,0,0.05588585,0.553191489,1131,2,2.205128205,3,86,2,2.205128205,3,86,PLASMA
131,30,2,9,4.366666667,1,9,4.366666667,2,14,7.233333333,2,3,0,0.145555556,0.709923664,52,38,0,4,1.368421053,0,4,1.368421053,1,7,2.736842105,2,10,0,0.03601108,0.230769231,1140,2,2.733333333,4,82,2,2.733333333,4,82,PLASMA
88,36,1,5,2.444444444,1,5,2.444444444,1,8,3.888888889,8,0,0,0.067901235,0.636363636,36,34,0,3,1.058823529,0,4,1.058823529,1,5,2.117647059,8,0,0,0.031141869,0.111111111,1224,2,2,2,72,2,2,2,72,PLASMA
155,30,2,9,5.166666667,1,9,5.166666667,3,15,8.9,1,1,0,0.172222222,0.703225806,62,32,0,7,1.9375,0,9,1.9375,1,10,3.875,1,5,0,0.060546875,0.129032258,960,2,2.833333333,5,85,2,2.833333333,5,85,PLASMA
130,42,2,5,3.095238095,2,6,3.095238095,3,10,5.19047619,9,0,0,0.073696145,0.769230769,42,32,1,3,1.3125,1,3,1.3125,2,6,2.625,9,0,0,0.041015625,0.571428571,1344,2,2,2,84,2,2,2,84,PLASMA
1849,43,43,43,43,43,43,43,85,85,85,1,0,0,1,1,43,44,0,43,0.977272727,0,1,0.977272727,1,43,1.954545455,1,1,0,0.022210744,0,1892,2,2,2,86,2,2,2,86,MC2
64,38,1,5,1.684210526,1,6,1.684210526,2,9,2.342105263,17,0,0,0.04432133,0.671875,39,56,0,2,0.696428571,0,2,0.696428571,1,3,1.392857143,17,1,0,0.012436224,0,2128,2,2.026315789,3,77,2,2.026315789,3,77,PLASMA
124,41,1,9,3.024390244,1,8,3.024390244,1,15,5,7,0,0,0.073765616,0.717741935,43,47,0,3,0.914893617,0,4,0.914893617,1,6,1.829787234,7,1,0,0.019465822,0.046511628,1927,2,2.048780488,3,84,2,2.048780488,3,84,PLASMA
286,36,1,21,7.944444444,1,22,7.944444444,1,36,14.11111111,2,5,0,0.220679012,0.734265734,156,47,0,16,3.319148936,0,22,3.319148936,1,29,6.638297872,1,10,0,0.07062019,0.192307692,1692,2,3.75,9,135,2,3.75,9,135,PLASMA
194,38,1,12,5.105263158,1,12,5.105263158,1,21,8.789473684,2,4,0,0.13434903,0.711340206,96,45,0,12,2.133333333,0,7,2.133333333,1,16,4.266666667,1,5,0,0.047407407,0.145833333,1710,2,3.105263158,5,118,2,3.105263158,5,118,PLASMA
120,29,2,6,4.137931034,2,11,4.137931034,3,15,6.724137931,1,2,0,0.142687277,0.725,56,37,0,3,1.513513514,0,5,1.513513514,1,7,3.027027027,1,12,0,0.040905771,0.392857143,1073,2,2.931034483,3,85,2,2.931034483,3,85,PLASMA
104,41,1,8,2.536585366,1,10,2.536585366,2,16,4,14,0,0,0.061867936,0.673076923,47,55,0,4,0.854545455,0,3,0.854545455,1,7,1.709090909,14,6,0,0.01553719,0.255319149,2255,2,2.146341463,3,88,2,2.146341463,3,88,PLASMA
437,42,2,26,10.4047619,1,21,10.4047619,5,44,19.07142857,1,0,0,0.247732426,0.711670481,79,33,0,10,2.393939394,0,12,2.393939394,1,20,4.606060606,1,16,0,0.072543618,0.126582278,1386,2,2.738095238,4,115,2,2.738095238,4,115,PLASMA
119,46,1,4,2.586956522,1,4,2.586956522,2,7,4.173913043,13,0,0,0.056238185,0.722689076,46,51,0,2,0.901960784,0,2,0.901960784,1,4,1.803921569,13,1,0,0.017685506,0.260869565,2346,2,2,2,92,2,2,2,92,PLASMA
119,46,1,4,2.586956522,1,4,2.586956522,2,7,4.173913043,13,0,0,0.056238185,0.722689076,46,51,0,2,0.901960784,0,2,0.901960784,1,4,1.803921569,13,1,0,0.017685506,0.260869565,2346,2,2,2,92,2,2,2,92,PLASMA
119,46,1,4,2.586956522,1,4,2.586956522,2,7,4.173913043,13,0,0,0.056238185,0.722689076,46,51,0,2,0.901960784,0,2,0.901960784,1,4,1.803921569,13,1,0,0.017685506,0.260869565,2346,2,2,2,92,2,2,2,92,PLASMA
241,48,2,14,5.020833333,1,11,5.020833333,2,21,8.916666667,1,2,0,0.104600694,0.68879668,65,38,0,7,1.710526316,0,8,1.710526316,1,12,3.421052632,1,17,0,0.04501385,0.030769231,1824,2,2.25,4,108,2,2.25,4,108,PLASMA
342,47,3,12,7.276595745,1,20,7.276595745,3,30,13.21276596,2,0,0,0.154821186,0.657894737,71,37,0,6,1.918918919,0,9,1.918918919,1,12,3.837837838,2,5,0,0.051862673,0.535211268,1739,2,2.489361702,4,117,2,2.489361702,4,117,PLASMA
192,48,2,9,4,1,10,4,3,17,6.958333333,4,0,0,0.083333333,0.739583333,50,38,0,3,1.315789474,0,3,1.315789474,1,6,2.631578947,4,1,0,0.034626039,0.24,1824,2,2.041666667,3,98,2,2.041666667,3,98,PLASMA
192,48,2,9,4,1,10,4,3,17,6.958333333,4,0,0,0.083333333,0.739583333,50,38,0,3,1.315789474,0,3,1.315789474,1,6,2.631578947,4,1,0,0.034626039,0.24,1824,2,2.041666667,3,98,2,2.041666667,3,98,PLASMA
276,48,1,17,5.75,1,14,5.75,1,29,10.16666667,2,4,0,0.119791667,0.724637681,89,48,0,12,1.854166667,0,8,1.854166667,1,17,3.708333333,1,11,0,0.038628472,0.112359551,2304,2,2.666666667,4,128,2,2.666666667,4,128,PLASMA
333,45,1,15,7.4,1,18,7.4,2,29,13.46666667,4,0,0,0.164444444,0.672672673,63,37,0,7,1.702702703,0,6,1.702702703,1,13,3.405405405,4,4,0,0.046018992,0.380952381,1665,2,2.4,3,108,2,2.4,3,108,PLASMA
333,45,1,15,7.4,1,18,7.4,2,29,13.46666667,4,0,0,0.164444444,0.672672673,63,37,0,7,1.702702703,0,6,1.702702703,1,13,3.405405405,4,4,0,0.046018992,0.380952381,1665,2,2.4,3,108,2,2.4,3,108,PLASMA
207,43,1,12,4.813953488,1,11,4.813953488,2,21,8.372093023,4,9,0,0.111952407,0.811594203,56,47,0,9,1.191489362,0,3,1.191489362,1,9,2.382978723,4,16,0,0.025350837,0.142857143,2021,2,2.302325581,3,99,2,2.302325581,3,99,PLASMA
588,58,4,20,10.13793103,6,14,10.13793103,11,33,19.27586207,1,0,0,0.174791914,0.714285714,58,18,0,10,3.222222222,2,6,3.222222222,2,14,6.444444444,1,6,0,0.179012346,0.482758621,1044,2,2,2,116,2,2,2,116,PLASMA
238,47,1,12,5.063829787,1,18,5.063829787,1,22,8.914893617,4,0,0,0.107741059,0.567226891,94,39,0,9,2.41025641,0,8,2.41025641,1,11,4.820512821,4,0,0,0.061801446,0.446808511,1833,2,3,7,141,2,3,7,141,PLASMA
417,45,2,27,9.266666667,2,22,9.266666667,3,43,16.93333333,1,3,0,0.205925926,0.839328537,95,44,0,16,2.159090909,0,10,2.159090909,1,16,4.25,1,12,0,0.049070248,0.073684211,1980,2,3,5,135,2,3,5,135,PLASMA
220,51,1,10,4.31372549,1,15,4.31372549,1,23,7.588235294,11,0,0,0.084582853,0.686363636,55,47,0,5,1.170212766,0,5,1.170212766,1,8,2.340425532,11,3,0,0.024898144,0.4,2397,2,2.078431373,3,106,2,2.078431373,3,106,PLASMA
441,45,5,16,9.8,2,23,9.8,7,34,17.86666667,1,0,0,0.217777778,0.62585034,111,38,1,9,2.921052632,0,9,2.921052632,3,18,5.842105263,1,0,0,0.076869806,0.486486486,1710,3,3.333333333,4,150,3,3.333333333,4,150,PLASMA
218,52,1,9,4.192307692,1,16,4.192307692,1,23,7.288461538,12,0,0,0.080621302,0.683486239,64,50,0,5,1.28,0,7,1.28,1,11,2.56,12,1,0,0.0256,0.40625,2600,2,2.230769231,3,116,2,2.230769231,3,116,PLASMA
368,45,2,20,8.177777778,2,17,8.177777778,3,35,14.6,1,1,0,0.181728395,0.79076087,89,54,0,12,1.648148148,0,6,1.648148148,1,13,3.296296296,1,12,0,0.030521262,0.179775281,2430,2,2.977777778,4,134,2,2.977777778,4,134,PLASMA
305,45,1,16,6.777777778,1,15,6.777777778,2,25,12.06666667,2,2,0,0.150617284,0.698360656,80,37,0,5,2.162162162,0,6,2.162162162,1,11,4.324324324,2,3,0,0.058436815,0.4,1665,2,2.777777778,5,125,2,2.777777778,5,125,PLASMA
186,54,1,6,3.444444444,1,6,3.444444444,1,11,5.888888889,12,0,0,0.063786008,0.677419355,54,50,0,3,1.08,0,3,1.08,1,6,2.16,12,2,0,0.0216,0.222222222,2700,2,2,2,108,2,2,2,108,PLASMA
218,57,2,9,3.824561404,1,10,3.824561404,3,17,6.614035088,6,0,0,0.067097568,0.73853211,59,46,0,3,1.282608696,0,3,1.282608696,1,6,2.565217391,6,1,0,0.027882798,0.203389831,2622,2,2.035087719,3,116,2,2.035087719,3,116,PLASMA
307,46,1,16,6.673913043,1,15,6.673913043,2,25,11.86956522,2,2,0,0.145085066,0.697068404,81,38,0,5,2.131578947,0,6,2.131578947,1,11,4.263157895,2,3,0,0.056094183,0.395061728,1748,2,2.760869565,5,127,2,2.760869565,5,127,PLASMA
223,45,1,12,4.955555556,1,12,4.955555556,1,22,8.688888889,6,5,0,0.110123457,0.874439462,55,55,0,8,1,0,3,1,1,9,2,6,10,0,0.018181818,0,2475,2,2.222222222,3,100,2,2.222222222,3,100,PLASMA
446,43,1,25,10.37209302,2,28,10.37209302,2,44,17.81395349,1,4,0,0.241211466,0.780269058,214,55,0,15,3.890909091,0,13,3.890909091,2,24,7.109090909,1,0,0,0.070743802,0.453271028,2365,2,4.255813953,8,183,2,4.255813953,8,183,PLASMA
382,51,2,15,7.490196078,1,18,7.490196078,3,29,13.62745098,1,3,0,0.14686659,0.672774869,72,37,0,7,1.945945946,0,6,1.945945946,1,13,3.810810811,1,10,0,0.052593134,0.458333333,1887,2,2.411764706,3,123,2,2.411764706,3,123,PLASMA
282,45,1,12,6.266666667,1,14,6.266666667,2,23,10.68888889,1,3,0,0.139259259,0.776595745,165,62,0,10,2.661290323,0,10,2.661290323,1,12,5.322580645,1,4,0,0.042924037,0.206060606,2790,2,3.666666667,6,165,2,3.666666667,6,165,PLASMA
395,64,1,12,6.171875,2,11,6.171875,2,22,11.34375,9,1,0,0.096435547,0.653164557,69,33,0,7,2.090909091,1,6,2.090909091,1,12,4.181818182,9,2,0,0.063360882,0.782608696,2112,2,2.078125,3,133,2,2.078125,3,133,PLASMA
218,57,2,9,3.824561404,1,10,3.824561404,3,17,6.614035088,6,0,0,0.067097568,0.73853211,59,46,0,3,1.282608696,0,3,1.282608696,1,6,2.565217391,6,1,0,0.027882798,0.203389831,2622,2,2.035087719,3,116,2,2.035087719,3,116,PLASMA
178,56,1,7,3.178571429,1,9,3.178571429,1,13,5.160714286,10,3,0,0.056760204,0.702247191,77,62,0,5,1.241935484,0,7,1.241935484,1,9,2.483870968,10,7,0,0.020031217,0.285714286,3472,2,2.339285714,4,131,2,2.339285714,4,131,PLASMA
342,53,1,14,6.452830189,2,14,6.452830189,3,25,11.30188679,1,1,0,0.121751513,0.786549708,120,61,0,7,1.967213115,0,8,1.967213115,1,15,3.93442623,1,5,0,0.032249395,0.133333333,3233,2,3,5,159,2,3,5,159,PLASMA
643,64,1,17,10.046875,2,28,10.046875,2,40,18.859375,1,2,0,0.156982422,0.592534992,101,26,0,11,3.884615385,0,13,3.884615385,2,20,7.769230769,1,0,0,0.149408284,0.673267327,1664,2,2.578125,3,165,2,2.578125,3,165,PLASMA
607,53,2,65,11.45283019,2,85,11.45283019,3,134,20.88679245,1,0,0,0.216091136,0.822075783,275,50,0,23,5.5,0,30,5.5,1,40,11,1,1,0,0.11,0.218181818,2650,2,3.943396226,22,209,2,3.943396226,22,209,PLASMA
246,58,1,8,4.24137931,2,12,4.24137931,2,18,7.224137931,4,3,0,0.073127229,0.605691057,82,56,0,4,1.464285714,0,5,1.464285714,1,8,2.928571429,4,11,0,0.026147959,0.219512195,3248,2,2.413793103,3,140,2,2.413793103,3,140,PLASMA
1091,56,1,48,19.48214286,1,47,19.48214286,1,88,37.125,2,1,0,0.347895408,0.759853346,148,47,0,40,3.14893617,0,36,3.14893617,1,63,5.978723404,2,20,0,0.066998642,0.236486486,2632,2,3.107142857,5,174,2,3.107142857,5,174,PLASMA
337,61,2,11,5.524590164,1,13,5.524590164,3,22,9.68852459,1,0,0,0.090567052,0.637982196,106,56,0,10,1.892857143,0,10,1.892857143,1,13,3.785714286,1,12,0,0.03380102,0.056603774,3416,2,2.590163934,4,158,2,2.590163934,4,158,PLASMA
633,70,1,16,9.042857143,1,28,9.042857143,2,40,16.87142857,4,0,0,0.129183673,0.579778831,103,39,0,7,2.641025641,0,13,2.641025641,1,20,5.282051282,4,6,0,0.067718606,0.660194175,2730,2,2.471428571,3,173,2,2.471428571,3,173,PLASMA
1287,72,4,32,17.875,4,51,17.875,8,79,33.83333333,1,0,0,0.248263889,0.658896659,153,27,0,15,5.666666667,0,32,5.666666667,1,40,10.25925926,1,3,0,0.209876543,0.607843137,1944,2,2.972222222,5,214,2,2.972222222,5,214,PLASMA
354,72,1,11,4.916666667,1,15,4.916666667,1,21,8.458333333,3,2,0,0.068287037,0.629943503,129,72,0,6,1.791666667,0,6,1.791666667,1,10,3.583333333,2,11,0,0.024884259,0.279069767,5184,2,2.791666667,5,201,2,2.791666667,5,201,PLASMA
639,66,2,25,9.681818182,2,20,9.681818182,3,43,17.65151515,1,0,0,0.146694215,0.812206573,130,73,0,17,1.780821918,0,8,1.780821918,1,17,3.561643836,1,17,0,0.024394821,0.246153846,4818,2,2.96969697,3,196,2,2.96969697,3,196,PLASMA
344,78,1,10,4.41025641,1,16,4.41025641,2,23,7.743589744,15,0,0,0.056541749,0.715116279,88,66,0,5,1.333333333,0,4,1.333333333,1,9,2.666666667,15,4,0,0.02020202,0.454545455,5148,2,2.128205128,3,166,2,2.128205128,3,166,PLASMA
696,69,2,26,10.08695652,2,22,10.08695652,3,46,18.44927536,1,0,0,0.146187776,0.79454023,137,77,0,17,1.779220779,0,8,1.779220779,1,18,3.558441558,1,17,0,0.023106763,0.233576642,5313,2,2.985507246,4,206,2,2.985507246,4,206,PLASMA
931,80,4,24,11.6375,2,32,11.6375,6,53,21.425,1,0,0,0.14546875,0.691729323,199,54,0,16,3.685185185,0,16,3.685185185,1,24,6.962962963,1,9,0,0.06824417,0.48241206,4320,2,3.1875,5,255,2,3.1875,5,255,PLASMA
834,75,2,27,11.12,2,30,11.12,3,48,20.42666667,1,0,0,0.148266667,0.697841727,166,80,0,13,2.075,0,15,2.075,1,25,4.0375,1,10,0,0.0259375,0.295180723,6000,2,3.12,5,234,2,3.12,5,234,PLASMA
438,94,1,10,4.659574468,1,17,4.659574468,1,24,8.244680851,15,0,0,0.049569941,0.673515982,108,75,0,5,1.44,0,6,1.44,1,9,2.88,15,0,0,0.0192,0.518518519,7050,2,2.14893617,3,202,2,2.14893617,3,202,PLASMA
348,51,3,12,6.823529412,2,18,6.823529412,5,27,12.05882353,1,0,0,0.133794694,0.692528736,101,49,0,6,2.06122449,0,6,2.06122449,1,12,4.12244898,1,2,0,0.042065806,0.356435644,2499,2,2.980392157,4,152,2,2.980392157,4,152,PLASMA
615,91,1,13,6.758241758,1,25,6.758241758,2,34,12.23076923,3,0,0,0.074266393,0.606504065,144,75,0,8,1.92,0,14,1.92,1,16,3.84,3,1,0,0.0256,0.111111111,6825,2,2.582417582,4,235,2,2.582417582,4,235,PLASMA
2950,94,2,53,31.38297872,1,80,31.38297872,2,112,60.64893617,1,1,0,0.333861476,0.730508475,289,39,0,40,7.41025641,0,99,7.41025641,1,101,14.23076923,1,3,0,0.190006575,0.273356401,3666,2,3.478723404,6,327,2,3.478723404,6,327,PLASMA
525,69,2,16,7.608695652,2,22,7.608695652,4,36,13.86956522,1,4,0,0.110270951,0.672380952,97,48,0,9,2.020833333,0,8,2.020833333,1,17,3.958333333,1,12,0,0.042100694,0.453608247,3312,2,2.405797101,3,166,2,2.405797101,3,166,PLASMA
1186,98,1,67,12.10204082,1,109,12.10204082,2,163,22.69387755,1,1,0,0.123490212,0.615514334,262,61,0,15,4.295081967,0,25,4.295081967,1,36,8.590163934,1,11,0,0.07041118,0.152671756,5978,2,3.142857143,16,308,2,3.142857143,16,308,PLASMA
1191,93,2,25,12.80645161,1,22,12.80645161,3,44,23.51612903,1,0,0,0.137703781,0.785054576,279,58,0,24,4.810344828,0,28,4.810344828,1,32,8.844827586,1,4,0,0.08293698,0.46953405,5394,2,3.397849462,5,316,2,3.397849462,5,316,PLASMA
703,109,1,14,6.449541284,1,24,6.449541284,1,34,11.69724771,7,5,0,0.059170104,0.60170697,166,81,0,8,2.049382716,0,12,2.049382716,1,16,4.098765432,7,12,0,0.025301021,0.265060241,8829,2,2.52293578,4,275,2,2.52293578,4,275,PLASMA
325,58,2,8,5.603448276,2,14,5.603448276,4,20,9.706896552,1,1,0,0.096611177,0.673846154,109,59,0,4,1.847457627,0,4,1.847457627,1,8,3.694915254,1,8,0,0.031312841,0.403669725,3422,2,2.879310345,3,167,2,2.879310345,3,167,PLASMA
889,110,1,16,8.081818182,2,27,8.081818182,2,41,14.64545455,1,2,0,0.073471074,0.673790776,215,102,0,9,2.107843137,0,9,2.107843137,1,18,4.215686275,1,14,0,0.020665129,0.31627907,11220,2,2.9,6,319,2,2.9,6,319,PLASMA
350,109,1,13,3.211009174,1,13,3.211009174,1,23,5.394495413,31,0,0,0.0294588,0.691428571,116,124,0,6,0.935483871,0,4,0.935483871,1,9,1.870967742,31,13,0,0.007544225,0.086206897,13516,2,2.055045872,4,224,2,2.055045872,4,224,PLASMA
1001,102,1,19,9.81372549,1,17,9.81372549,1,34,17.98039216,5,7,0,0.096212995,0.861138861,270,118,0,19,2.288135593,0,18,2.288135593,1,23,4.576271186,5,10,0,0.01939098,0.088888889,12036,2,3.166666667,4,323,2,3.166666667,4,323,PLASMA
675,65,1,29,10.38461538,2,32,10.38461538,2,57,18.83076923,2,4,0,0.159763314,0.678518519,273,96,0,26,2.84375,0,24,2.84375,1,39,5.677083333,1,4,0,0.029622396,0.047619048,6240,2,4.046153846,8,263,2,4.046153846,8,263,PLASMA
463,115,1,12,4.026086957,1,12,4.026086957,1,20,6.956521739,10,11,0,0.035009452,0.695464363,126,112,0,6,1.125,0,4,1.125,1,8,2.25,10,27,0,0.010044643,0,12880,2,2.095652174,3,241,2,2.095652174,3,241,PLASMA
463,115,1,12,4.026086957,1,12,4.026086957,1,20,6.956521739,10,11,0,0.035009452,0.695464363,126,112,0,6,1.125,0,4,1.125,1,8,2.25,10,27,0,0.010044643,0,12880,2,2.095652174,3,241,2,2.095652174,3,241,PLASMA
468,116,1,12,4.034482759,1,13,4.034482759,1,20,6.974137931,10,11,0,0.034780024,0.69017094,127,113,0,6,1.123893805,0,4,1.123893805,1,8,2.247787611,10,27,0,0.009945963,0,13108,2,2.094827586,3,243,2,2.094827586,3,243,PLASMA
1254,120,4,15,10.45,2,37,10.45,5,50,19.55833333,1,0,0,0.087083333,0.535087719,235,64,0,8,3.671875,1,14,3.671875,2,22,7.34375,1,6,0,0.057373047,0.706382979,7680,2,2.958333333,3,355,2,2.958333333,3,355,PLASMA
364,63,1,9,5.777777778,1,15,5.777777778,2,21,10.03174603,1,7,0,0.091710758,0.681318681,118,64,0,5,1.84375,0,4,1.84375,1,8,3.6875,1,11,0,0.028808594,0.372881356,4032,2,2.873015873,3,181,2,2.873015873,3,181,PLASMA
389,65,1,10,5.984615385,2,14,5.984615385,2,20,10.44615385,1,2,0,0.092071006,0.706940874,121,64,0,5,1.890625,0,5,1.890625,1,9,3.78125,1,6,0,0.029541016,0.363636364,4160,2,2.861538462,3,186,2,2.861538462,3,186,PLASMA
867,125,2,14,6.936,1,18,6.936,3,30,12.44,1,1,0,0.055488,0.637831603,225,95,0,8,2.368421053,0,8,2.368421053,1,12,4.736842105,1,6,0,0.024930748,0.231111111,11875,2,2.8,3,350,2,2.8,3,350,PLASMA
867,125,2,14,6.936,1,18,6.936,3,30,12.44,1,1,0,0.055488,0.637831603,225,95,0,8,2.368421053,0,8,2.368421053,1,12,4.736842105,1,6,0,0.024930748,0.231111111,11875,2,2.8,3,350,2,2.8,3,350,PLASMA
