ReactionG_PD_Edges,ReactionG_PD_Vertices,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeMEAN,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PD_Density,ReactionG_PD_Reciprocity,SpeciesG_PD_Edges,SpeciesG_PD_Vertices,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
1652,138,2,20,11.97101449,1,40,11.97101449,3,58,22.65217391,1,0,0,0.086746482,0.573849879,229,61,0,10,3.754098361,0,14,3.754098361,1,24,7.508196721,1,8,0,0.061542596,0.663755459,8418,2,2.65942029,3,367,2,2.65942029,3,367,PLASMA
527,82,1,11,6.426829268,2,17,6.426829268,2,26,11.40243902,1,2,0,0.078375967,0.681214421,144,73,0,7,1.97260274,0,5,1.97260274,1,12,3.945205479,1,6,0,0.027021955,0.347222222,5986,2,2.756097561,3,226,2,2.756097561,3,226,PLASMA
513,79,1,13,6.493670886,1,15,6.493670886,2,22,11.44303797,1,2,0,0.082198366,0.69785575,148,75,0,6,1.973333333,0,5,1.973333333,1,9,3.946666667,1,6,0,0.026311111,0.351351351,5925,2,2.873417722,3,227,2,2.873417722,3,227,PLASMA
478,81,1,10,5.901234568,2,15,5.901234568,2,21,10.27160494,1,5,0,0.072854748,0.69874477,150,81,0,5,1.851851852,0,5,1.851851852,1,9,3.703703704,1,12,0,0.022862369,0.346666667,6561,2,2.851851852,3,231,2,2.851851852,3,231,PLASMA
771,133,1,10,5.796992481,1,20,5.796992481,2,27,10.19548872,3,5,0,0.04358641,0.713359274,228,120,0,7,1.9,0,8,1.9,1,12,3.8,3,23,0,0.015833333,0.307017544,15960,2,2.714285714,5,361,2,2.714285714,5,361,PLASMA
1848,152,4,17,12.15789474,2,42,12.15789474,6,57,22.97368421,1,0,0,0.07998615,0.516233766,298,75,0,9,3.973333333,1,16,3.973333333,2,25,7.946666667,1,5,0,0.052977778,0.704697987,11400,2,2.960526316,3,450,2,2.960526316,3,450,PLASMA
671,90,1,12,7.455555556,1,19,7.455555556,1,28,13.36666667,2,1,0,0.082839506,0.651266766,176,79,0,6,2.227848101,0,6,2.227848101,1,12,4.455696203,2,6,0,0.028200609,0.386363636,7110,2,2.955555556,3,266,2,2.955555556,3,266,PLASMA
1263,150,2,19,8.42,1,21,8.42,2,38,15.42666667,3,5,0,0.056133333,0.647664291,260,97,0,8,2.680412371,0,14,2.680412371,1,14,5.360824742,3,8,0,0.027633117,0.284615385,14550,2,2.733333333,4,410,2,2.733333333,4,410,PLASMA
1272,151,1,26,8.42384106,2,21,8.42384106,2,44,15.37086093,1,8,0,0.055787027,0.777515723,243,119,0,12,2.042016807,0,7,2.042016807,1,14,4.084033613,1,35,0,0.017159805,0.12345679,17969,2,2.609271523,3,394,2,2.609271523,3,394,PLASMA
635,99,1,12,6.414141414,2,18,6.414141414,2,28,11.36363636,1,5,0,0.064789307,0.681889764,174,91,0,8,1.912087912,0,5,1.912087912,1,13,3.824175824,1,12,0,0.021011955,0.333333333,9009,2,2.757575758,3,273,2,2.757575758,3,273,PLASMA
880,117,1,12,7.521367521,1,19,7.521367521,1,28,13.51282051,3,2,0,0.064285192,0.673863636,224,108,0,9,2.074074074,0,6,2.074074074,1,12,4.148148148,3,13,0,0.01920439,0.357142857,12636,2,2.914529915,3,341,2,2.914529915,3,341,PLASMA
1478,205,1,20,7.209756098,1,22,7.209756098,2,35,12.95609756,1,4,0,0.035169542,0.644113667,385,194,0,10,1.984536082,0,11,1.984536082,1,14,3.969072165,1,21,0,0.010229567,0.244155844,39770,2,2.87804878,6,590,2,2.87804878,6,590,PLASMA
1123,218,1,16,5.151376147,1,16,5.151376147,1,30,9.183486239,79,0,0,0.023630166,0.974176313,223,163,0,12,1.36809816,0,12,1.36809816,1,12,2.607361963,77,1,0,0.00839324,0.094170404,35534,2,2.02293578,4,441,2,2.02293578,4,441,PLASMA
4234,186,1,83,22.76344086,1,101,22.76344086,2,141,43.46236559,3,20,0,0.122384091,0.740670761,989,206,0,90,4.800970874,0,92,4.800970874,1,119,9.567961165,3,34,0,0.023305684,0.144590495,38316,2,4.193548387,10,780,2,4.193548387,10,780,PLASMA
8907,219,2,83,40.67123288,2,83,40.67123288,3,164,79.52968037,1,0,0,0.185713392,0.959133266,863,197,0,148,4.38071066,0,148,4.38071066,2,158,8.76142132,1,0,0,0.02223711,0.023174971,43143,3,3.96347032,7,868,3,3.96347032,7,868,PLASMA
1601,197,1,25,8.126903553,2,31,8.126903553,2,48,14.69035533,1,7,0,0.041253318,0.667083073,397,187,0,12,2.122994652,0,11,2.122994652,1,22,4.240641711,1,27,0,0.011352913,0.314861461,36839,2,2.974619289,6,586,2,2.974619289,6,586,PLASMA
2824,225,2,23,12.55111111,1,37,12.55111111,3,55,23.56444444,1,2,0,0.055782716,0.601274788,442,179,0,13,2.469273743,0,13,2.469273743,1,24,4.938547486,1,12,0,0.013794825,0.416289593,40275,2,2.964444444,4,667,2,2.964444444,4,667,PLASMA
3305,232,1,58,14.24568966,1,66,14.24568966,1,110,26.78448276,21,8,0,0.061403835,0.794553707,807,255,0,59,3.164705882,0,41,3.164705882,1,83,6.329411765,1,43,0,0.012410611,0.158612144,59160,2,3.521551724,8,817,2,3.521551724,8,817,PLASMA
7365,300,7,38,24.55,3,86,24.55,15,120,47.66666667,1,0,0,0.081833333,0.506449423,586,86,1,19,6.813953488,2,34,6.813953488,3,51,13.62790698,1,1,0,0.079232017,0.887372014,25800,2,2.953333333,3,886,2,2.953333333,3,886,PLASMA
10667,264,1,174,40.40530303,1,247,40.40530303,1,378,78.73863636,3,28,0,0.15305039,0.651635886,1362,308,0,140,4.422077922,0,136,4.422077922,1,226,8.844155844,1,55,0,0.014357396,0.101321586,81312,2,4.193181818,47,1107,2,4.193181818,47,1107,PLASMA
37760,352,12,142,107.2727273,10,270,107.2727273,21,410,213.0909091,1,0,0,0.304752066,0.519491525,672,67,5,128,10.02985075,5,128,10.02985075,10,256,20.05970149,1,0,0,0.149699265,1,23584,2,2.909090909,3,1024,2,2.909090909,3,1024,PLASMA
10595,261,1,171,40.59386973,1,246,40.59386973,1,374,79.11877395,7,28,0,0.155532068,0.6523832,1346,308,0,140,4.37012987,0,136,4.37012987,1,226,8.74025974,5,51,0,0.014188733,0.101040119,80388,2,4.183908046,47,1092,2,4.183908046,47,1092,PLASMA
1438,196,1,20,7.336734694,2,18,7.336734694,2,33,13.12755102,1,3,0,0.03743232,0.710013908,370,188,0,12,1.968085106,0,6,1.968085106,1,13,3.936170213,1,17,0,0.010468538,0.313513514,36848,2,2.887755102,4,566,2,2.887755102,4,566,PLASMA
14900,316,3,124,47.15189873,2,138,47.15189873,4,259,92.27848101,1,0,0,0.149214869,0.820805369,1149,136,0,211,8.448529412,0,124,8.448529412,1,278,16.125,1,2,0,0.06212154,0.253263708,42976,2,3.787974684,7,1197,2,3.787974684,7,1197,PLASMA
1497,202,1,20,7.410891089,1,18,7.410891089,2,34,13.27722772,1,3,0,0.03668758,0.701402806,381,192,0,12,1.984375,0,6,1.984375,1,13,3.96875,1,18,0,0.010335286,0.31496063,38784,2,2.886138614,4,583,2,2.886138614,4,583,PLASMA
1492,204,1,21,7.31372549,1,18,7.31372549,2,36,13.08823529,1,5,0,0.035851596,0.707774799,385,196,0,13,1.964285714,0,6,1.964285714,1,14,3.928571429,1,21,0,0.010021866,0.322077922,39984,2,2.887254902,4,589,2,2.887254902,4,589,PLASMA
1485,206,1,21,7.208737864,1,18,7.208737864,2,36,12.88834951,1,5,0,0.034993873,0.71043771,386,200,0,13,1.93,0,6,1.93,1,14,3.86,1,23,0,0.00965,0.321243523,41200,2,2.873786408,4,592,2,2.873786408,4,592,PLASMA
7090,216,1,127,32.82407407,1,124,32.82407407,2,247,63.53703704,1,5,0,0.151963306,0.83751763,1068,266,0,158,4.015037594,0,124,4.015037594,1,160,8.015037594,1,9,0,0.015094126,0.041198502,57456,2,4.305555556,8,930,2,4.305555556,8,930,PLASMA
16313,480,11,69,33.98541667,3,108,33.98541667,13,170,66.65833333,1,0,0,0.070802951,0.4351131,933,155,3,26,6.019354839,1,35,6.019354839,4,61,12.03870968,1,0,0,0.038834547,0.662379421,74400,2,2.94375,3,1413,2,2.94375,3,1413,PLASMA
15388,421,1,129,36.55106888,1,208,36.55106888,1,292,71.2327791,51,19,0,0.086819641,0.599883026,1751,398,0,107,4.399497487,0,216,4.399497487,1,322,8.798994975,1,113,0,0.011054014,0.09480297,167558,2,3.874109264,21,1631,2,3.874109264,21,1631,PLASMA
9066,443,1,228,20.46501129,2,128,20.46501129,2,311,39.29119639,2,54,0,0.046196414,0.702404589,1758,448,0,117,3.924107143,0,146,3.924107143,1,201,7.848214286,1,127,0,0.008759168,0.129692833,198464,2,3.390519187,46,1502,2,3.390519187,46,1502,PLASMA
29950,469,1,247,63.85927505,1,327,63.85927505,2,478,125.9616205,8,107,0,0.136160501,0.752186978,1891,441,0,297,4.287981859,0,330,4.287981859,1,404,8.575963719,1,147,0,0.009723315,0.111052353,206829,2,3.776119403,9,1771,2,3.776119403,9,1771,PLASMA
11144,371,1,46,30.03773585,1,88,30.03773585,1,131,58.57412399,3,1,0,0.080964248,0.533111989,726,270,0,38,2.688888889,0,40,2.688888889,1,78,5.377777778,3,13,0,0.009958848,0.435261708,100170,2,2.956873315,4,1097,2,2.956873315,4,1097,PLASMA
11055,362,1,46,30.53867403,1,88,30.53867403,1,131,59.56906077,3,1,0,0.084360978,0.532247852,713,266,0,38,2.680451128,0,40,2.680451128,1,78,5.360902256,3,12,0,0.010076884,0.437587658,96292,2,2.96961326,4,1075,2,2.96961326,4,1075,PLASMA
11094,367,1,46,30.22888283,1,88,30.22888283,1,131,58.95640327,3,1,0,0.082367528,0.532990806,718,268,0,38,2.679104478,0,40,2.679104478,1,78,5.358208955,3,13,0,0.009996658,0.43454039,98356,2,2.95640327,4,1085,2,2.95640327,4,1085,PLASMA
10484,371,1,46,28.25876011,1,88,28.25876011,1,131,55.01617251,3,1,0,0.076169165,0.53519649,726,271,0,38,2.67896679,0,40,2.67896679,1,78,5.357933579,3,13,0,0.009885486,0.435261708,100541,2,2.956873315,4,1097,2,2.956873315,4,1097,PLASMA
71889,555,1,630,129.5297297,1,816,129.5297297,2,1397,256.7945946,6,27,0,0.2333869,0.663620304,3395,587,0,418,5.783645656,0,469,5.783645656,1,697,11.56729131,6,45,0,0.009852889,0.118409426,325785,2,4.736936937,52,2629,2,4.736936937,52,2629,PLASMA
7574,805,1,48,9.408695652,1,46,9.408695652,1,92,17.8173913,93,44,0,0.011687821,0.813968841,807,459,0,45,1.758169935,0,45,1.758169935,1,46,3.516339869,93,45,0,0.003830436,0.436183395,369495,2,2.002484472,3,1612,2,2.002484472,3,1612,PLASMA
7574,805,1,48,9.408695652,1,46,9.408695652,1,92,17.8173913,93,44,0,0.011687821,0.813968841,807,459,0,45,1.758169935,0,45,1.758169935,1,46,3.516339869,93,45,0,0.003830436,0.436183395,369495,2,2.002484472,3,1612,2,2.002484472,3,1612,PLASMA
7574,805,1,48,9.408695652,1,46,9.408695652,1,92,17.8173913,93,44,0,0.011687821,0.813968841,807,459,0,45,1.758169935,0,45,1.758169935,1,46,3.516339869,93,45,0,0.003830436,0.436183395,369495,2,2.002484472,3,1612,2,2.002484472,3,1612,PLASMA
7579,806,1,48,9.403225806,1,46,9.403225806,1,92,17.80645161,93,44,0,0.011666533,0.814091569,808,459,0,45,1.760348584,0,45,1.760348584,1,46,3.520697168,93,45,0,0.003835182,0.438118812,369954,2,2.00248139,3,1614,2,2.00248139,3,1614,PLASMA
7579,806,1,48,9.403225806,1,46,9.403225806,1,92,17.80645161,93,44,0,0.011666533,0.814091569,808,459,0,45,1.760348584,0,45,1.760348584,1,46,3.520697168,93,45,0,0.003835182,0.438118812,369954,2,2.00248139,3,1614,2,2.00248139,3,1614,PLASMA
26204,827,1,113,31.68561064,2,74,31.68561064,2,169,61.52841596,1,5,0,0.038313919,0.948710121,1524,504,0,63,3.023809524,0,80,3.023809524,1,80,6.047619048,1,10,0,0.005999622,0,416808,2,2.84280532,3,2351,2,2.84280532,3,2351,PLASMA
98365,778,2,184,126.433162,1,540,126.433162,2,723,251.8470437,8,178,0,0.162510491,0.340415798,808,591,0,180,1.367174281,0,360,1.367174281,1,540,2.734348562,8,196,0,0.002313324,0.542079208,459798,2,2.038560411,4,1586,2,2.038560411,4,1586,PLASMA
25113,850,2,153,29.54470588,2,153,29.54470588,4,304,57.89882353,1,0,0,0.034758478,0.930991917,1336,436,0,288,3.064220183,1,288,3.064220183,1,289,6.128440367,1,8,0,0.007028028,0.010479042,370600,2,2.381176471,4,2024,2,2.381176471,4,2024,PLASMA
97306,690,1,744,141.0231884,1,924,141.0231884,2,1605,279.8492754,10,56,0,0.204381432,0.664686659,4052,698,0,481,5.805157593,0,640,5.805157593,1,872,11.61031519,2,97,0,0.008316845,0.12290227,481620,2,4.546376812,67,3137,2,4.546376812,67,3137,PLASMA
97306,690,1,744,141.0231884,1,924,141.0231884,2,1605,279.8492754,10,56,0,0.204381432,0.664686659,4052,698,0,481,5.805157593,0,640,5.805157593,1,872,11.61031519,2,97,0,0.008316845,0.12290227,481620,2,4.546376812,67,3137,2,4.546376812,67,3137,PLASMA
97306,690,1,744,141.0231884,1,924,141.0231884,2,1605,279.8492754,10,56,0,0.204381432,0.664686659,4052,698,0,481,5.805157593,0,640,5.805157593,1,872,11.61031519,2,97,0,0.008316845,0.12290227,481620,2,4.546376812,67,3137,2,4.546376812,67,3137,PLASMA
97306,690,1,744,141.0231884,1,924,141.0231884,2,1605,279.8492754,10,56,0,0.204381432,0.664686659,4052,698,0,481,5.805157593,0,640,5.805157593,1,872,11.61031519,2,97,0,0.008316845,0.12290227,481620,2,4.546376812,67,3137,2,4.546376812,67,3137,PLASMA
98539,783,1,447,125.8480204,1,627,125.8480204,1,902,249.6436782,7,84,0,0.160725441,0.662326592,4047,783,0,481,5.168582375,0,719,5.168582375,1,899,10.33205619,3,103,0,0.006600999,0.111193477,613089,2,4.358876117,21,3413,2,4.358876117,21,3413,PLASMA
99579,781,1,479,127.5019206,1,555,127.5019206,1,916,252.9513444,3,114,0,0.1632547,0.640727463,4415,793,0,494,5.567465322,0,684,5.567465322,0,914,11.13493064,19,149,0,0.007020763,0.104643262,619333,2,4.270166453,47,3335,2,4.270166453,47,3335,PLASMA
69568,943,1,357,73.77306469,1,444,73.77306469,1,780,145.6362672,14,12,0,0.078232306,0.877774264,3980,836,0,490,4.76076555,0,312,4.76076555,1,506,9.520334928,11,67,0,0.005694696,0.10678392,788348,2,3.977730647,24,3751,2,3.977730647,24,3751,PLASMA
228394,1059,1,722,215.6694995,1,888,215.6694995,1,1460,428.9320113,36,26,0,0.203653918,0.663139137,6201,1081,0,535,5.736355227,0,809,5.736355227,1,1305,11.47271045,32,72,0,0.005306527,0.155781326,1144779,2,4.696883853,40,4974,2,4.696883853,40,4974,PLASMA
96116,1001,1,591,96.01998002,1,715,96.01998002,1,1255,190.1128871,27,107,0,0.095924056,0.762047942,4655,1025,0,560,4.541463415,0,594,4.541463415,1,719,9.082926829,14,162,0,0.004430696,0.066595059,1026025,2,4.070929071,55,4075,2,4.070929071,55,4075,PLASMA
252736,1309,1,1087,193.0756303,1,1156,193.0756303,1,1961,384.1161192,5,302,0,0.147498572,0.700462142,9309,1248,0,807,7.459134615,0,1084,7.459134615,1,1392,14.91826923,1,317,0,0.005976871,0.079278118,1633632,2,4.250572956,84,5564,2,4.250572956,84,5564,PLASMA
126688,1406,1,391,90.10526316,1,384,90.10526316,1,761,178.4338549,23,51,0,0.064086247,0.911262314,5139,1297,0,417,3.962220509,0,321,3.962220509,1,455,7.924441018,17,109,0,0.003054912,0.100019459,1823582,2,3.687766714,8,5185,2,3.687766714,8,5185,PLASMA
114215,1706,1,449,66.94900352,1,691,66.94900352,1,1105,132.2203986,12,95,0,0.039243261,0.878255921,5261,1116,0,480,4.714157706,0,329,4.714157706,1,497,9.428315412,9,273,0,0.004224156,0.132294241,1903896,2,3.337045721,38,5693,2,3.337045721,38,5693,PLASMA
51786,1750,2,160,29.592,2,156,29.592,4,314,57.97028571,1,0,0,0.016909714,0.923415595,2872,872,0,288,3.293577982,1,288,3.293577982,1,289,6.587155963,1,16,0,0.003777039,0.009749304,1526000,2,2.427428571,4,4248,2,2.427428571,4,4248,PLASMA
226804,1575,1,853,144.0025397,1,988,144.0025397,1,1787,285.9536508,5,151,0,0.091430184,0.6336793,8116,1391,0,545,5.83465133,0,799,5.83465133,1,1275,11.66930266,1,226,0,0.004194573,0.128881222,2190825,2,4.241904762,57,6681,2,4.241904762,57,6681,PLASMA
100009,996,1,441,100.4106426,1,510,100.4106426,2,894,198.8694779,4,126,0,0.100813898,0.828025478,4526,949,0,390,4.769230769,0,248,4.769230769,1,497,9.538461538,1,170,0,0.005025533,0.086168802,945204,2,3.90562249,44,3890,2,3.90562249,44,3890,PLASMA
401070,1857,1,740,215.9773829,1,1134,215.9773829,1,1612,429.728056,43,22,0,0.11630446,0.615246715,9909,1457,0,620,6.800960879,0,1061,6.800960879,1,1681,13.60192176,38,83,0,0.004667784,0.127358967,2705649,2,4.428109855,16,8223,2,4.428109855,16,8223,PLASMA
109105,890,1,513,122.5898876,1,665,122.5898876,1,1164,240.488764,5,7,0,0.137741447,0.728665047,33546,2183,0,761,15.36692625,0,917,15.36692625,1,1317,30.59047183,5,19,0,0.007039362,0.131848805,1942870,2,8.852808989,82,7879,2,8.852808989,82,7879,PLASMA
106166,898,1,501,118.2249443,1,652,118.2249443,1,1139,231.7928731,4,8,0,0.131653613,0.726315393,33845,2192,0,724,15.44023723,0,893,15.44023723,1,1295,30.73403285,4,20,0,0.007043904,0.129324863,1968416,2,8.780623608,82,7885,2,8.780623608,82,7885,PLASMA
109148,897,1,523,121.6811594,1,667,121.6811594,1,1176,238.657748,4,8,0,0.135653466,0.734049181,34744,2193,0,746,15.84313725,0,882,15.84313725,1,1289,31.54491564,4,19,0,0.007224413,0.127043518,1967121,2,8.884057971,82,7969,2,8.884057971,82,7969,PLASMA
112633,906,1,525,124.3189845,1,676,124.3189845,1,1187,243.9260486,4,8,0,0.137217422,0.729706214,35061,2203,0,774,15.91511575,0,918,15.91511575,1,1333,31.68497503,4,20,0,0.007224292,0.128747041,1995918,2,8.888520971,82,8053,2,8.888520971,82,8053,PLASMA
112566,912,1,527,123.4276316,1,679,123.4276316,1,1192,242.1480263,4,9,0,0.135337315,0.727173392,35347,2207,0,771,16.01585863,0,917,16.01585863,1,1336,31.88763027,4,20,0,0.007256846,0.127026339,2012784,2,8.901315789,82,8118,2,8.901315789,82,8118,PLASMA
113666,916,1,527,124.0895197,1,682,124.0895197,1,1195,243.470524,5,6,0,0.135468908,0.730112787,35243,2211,0,764,15.93984622,0,912,15.93984622,1,1327,31.73405699,5,17,0,0.007209338,0.127741679,2025276,2,8.884279476,82,8138,2,8.884279476,82,8138,PLASMA
115636,921,1,530,125.5548317,1,687,125.5548317,1,1203,246.3963084,4,8,0,0.136324464,0.727948044,35520,2227,0,784,15.94970813,0,930,15.94970813,1,1349,31.75348002,4,19,0,0.00716197,0.128350225,2051067,2,8.897937025,82,8195,2,8.897937025,82,8195,PLASMA
180371,1826,1,541,98.77929901,2,772,98.77929901,2,1246,195.6166484,28,228,0,0.054096002,0.72228906,8681,1604,0,476,5.412094763,0,567,5.412094763,1,925,10.82418953,3,356,0,0.003374124,0.117958761,2928904,2,3.966046002,10,7242,2,3.966046002,10,7242,PLASMA
16347,2824,1,46,5.788597734,1,43,5.788597734,1,76,10.47025496,214,477,0,0.002049787,0.713647764,3573,2631,0,35,1.358038769,0,33,1.358038769,1,45,2.710756366,157,733,0,0.000516,0.081164288,7429944,2,2.21529745,5,6256,2,2.21529745,5,6256,PLASMA
658063,2382,1,1420,276.2649034,2,1773,276.2649034,2,3035,550.6335013,28,439,0,0.115980228,0.684926823,10969,1972,0,1272,5.562373225,0,1686,5.562373225,1,2154,11.12474645,1,592,0,0.002820676,0.106481904,4697304,2,4.002938707,67,9535,2,4.002938707,67,9535,PLASMA
658063,2382,1,1420,276.2649034,2,1773,276.2649034,2,3035,550.6335013,28,439,0,0.115980228,0.684926823,10969,1972,0,1272,5.562373225,0,1686,5.562373225,1,2154,11.12474645,1,592,0,0.002820676,0.106481904,4697304,2,4.002938707,67,9535,2,4.002938707,67,9535,PLASMA
650955,2378,1,1415,273.7405383,2,1768,273.7405383,2,3027,545.5870479,28,440,0,0.115113767,0.68580163,10938,1974,0,1272,5.541033435,0,1686,5.541033435,1,2143,11.08206687,1,591,0,0.002807008,0.104589504,4694172,2,4,67,9512,2,4,67,9512,PLASMA
503237,2539,1,1401,198.2028358,1,2309,198.2028358,1,3688,394.0803466,8,41,0,0.078063346,0.879784277,16502,1420,0,1102,11.62112676,0,1102,11.62112676,1,1144,23.24225352,2,71,0,0.008183892,0.20942916,3605380,2,4.719574636,27,11983,2,4.719574636,27,11983,PLASMA
