SpeciesG_PD_Vertices,SpeciesG_PD_Edges,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeSUM,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeSUM,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeSUM,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PD_Vertices,ReactionG_PD_Edges,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMEAN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeSUM,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeSUM,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeSUM,ReactionG_PD_Density,ReactionG_PD_Reciprocity,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,NG_NumOfNONConstantSpecies,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,SSA
12,17,0,1.416666667,2,17,0,1.416666667,2,17,2,2.833333333,4,34,0.118055556,0,1,1,0,17,51,2,3,4,51,1,3,4,51,3,5,7,85,0.176470588,0.568627451,1,1,0,12,204,2,2,2,34,tl
13,25,0,1.923076923,3,25,0,1.923076923,8,25,2,3.846153846,8,50,0.147928994,0,1,1,0,17,115,2,6.764705882,12,115,1,6.764705882,12,115,3,12.05882353,21,205,0.397923875,0.808695652,1,1,0,13,221,2,2.470588235,3,42,pdm
9,7,0,0.777777778,2,7,0,0.777777778,2,7,1,1.555555556,3,14,0.086419753,0,3,2,1,7,13,1,1.857142857,3,13,1,1.857142857,3,13,2,2.714285714,4,19,0.265306122,0.692307692,3,1,0,9,63,2,2,2,14,pdm
7,7,0,1,2,7,0,1,2,7,1,2,3,14,0.142857143,0.571428571,3,2,1,7,15,1,2.142857143,3,15,2,2.142857143,3,15,3,3.285714286,4,23,0.306122449,0.866666667,3,1,0,7,49,2,2,2,14,odm
7,11,1,1.571428571,3,11,1,1.571428571,3,11,2,3.142857143,4,22,0.224489796,0.545454545,1,1,0,9,29,2,3.222222222,6,29,2,3.222222222,5,29,3,5.333333333,9,48,0.358024691,0.75862069,1,1,0,7,63,2,2.222222222,3,20,odm
3,3,1,1,1,3,1,1,1,3,2,2,2,6,0.333333333,0,1,1,0,3,6,2,2,2,6,2,2,2,6,3,3,3,9,0.666666667,0.5,1,1,0,3,9,2,2,2,6,tl
24,28,0,1.166666667,6,28,0,1.166666667,5,28,1,2.333333333,11,56,0.048611111,0.428571429,6,10,5,25,124,1,4.96,16,124,1,4.96,11,124,1,8.8,25,220,0.1984,0.709677419,6,1,0,24,600,2,2.12,3,53,pdm
13,15,0,1.153846154,3,15,0,1.153846154,4,15,1,2.307692308,6,30,0.088757396,0.266666667,3,6,3,13,48,1,3.692307692,11,48,1,3.692307692,8,48,2,6.307692308,17,82,0.284023669,0.708333333,3,1,0,13,169,2,2.153846154,3,28,odm
22,40,1,1.818181818,3,40,1,1.818181818,3,40,2,3.636363636,6,80,0.082644628,0.5,1,5,4,20,100,2,5,10,100,3,5,7,100,4,8.5,14,170,0.25,0.7,1,1,0,22,440,3,3,3,60,sdm
8,10,1,1.25,2,10,1,1.25,2,10,2,2.5,4,20,0.15625,1,3,1,0,10,28,2,2.8,4,28,2,2.8,3,28,3,4.6,6,46,0.28,0.857142857,3,1,0,8,80,2,2,2,20,tl
22,60,2,2.727272727,6,60,1,2.727272727,4,60,3,5.454545455,9,120,0.123966942,0.666666667,1,5,4,30,180,3,6,15,180,4,6,8,180,6,10.66666667,20,320,0.2,0.666666667,1,1,0,22,660,3,3,3,90,sdm
18,12,0,0.666666667,1,12,0,0.666666667,1,12,1,1.333333333,2,24,0.037037037,0,6,2,1,12,18,1,1.5,2,18,1,1.5,2,18,2,2,2,24,0.125,0.666666667,6,1,0,18,216,2,2,2,24,tl
86,586,2,6.813953488,34,586,1,6.813953488,19,586,3,13.62790698,51,1172,0.079232017,0.887372014,1,2,1,300,7365,3,24.55,86,7365,7,24.55,38,7365,15,47.66666667,120,14300,0.081833333,0.506449423,1,1,0,86,25800,2,2.953333333,3,886,pdm
22,40,0,1.818181818,5,40,0,1.818181818,5,40,1,3.636363636,10,80,0.082644628,0.35,1,9,6,37,209,1,5.648648649,12,209,1,5.648648649,12,209,2,10.21621622,21,378,0.15266618,0.641148325,1,2,1,22,814,2,2.081081081,3,77,pdm
6,10,1,1.666666667,2,10,1,1.666666667,3,10,2,3.333333333,5,20,0.277777778,0.8,1,3,2,10,38,2,3.8,5,38,3,3.8,5,38,4,6.6,9,66,0.38,0.736842105,1,1,0,6,60,2,2,2,20,tl
95,225,0,2.368421053,8,225,0,2.368421053,8,225,1,4.736842105,12,450,0.024930748,0.231111111,1,7,6,125,867,1,6.936,18,867,2,6.936,14,867,3,12.44,30,1555,0.055488,0.637831603,1,2,1,95,11875,2,2.8,3,350,pdm
24,25,0,1.041666667,2,25,0,1.041666667,3,25,1,2.083333333,5,50,0.043402778,0.32,3,17,8,24,86,1,3.583333333,8,86,1,3.583333333,8,86,2,6.125,14,147,0.149305556,0.73255814,3,4,2,24,576,2,2.041666667,3,49,pdm
12,34,0,2.833333333,20,34,1,2.833333333,6,34,1,5.666666667,26,68,0.236111111,0.470588235,1,6,2,32,265,3,8.28125,26,265,6,8.28125,9,265,9,15.5,34,496,0.258789063,0.528301887,1,1,0,12,384,2,2.0625,3,66,pdm
13,26,0,2,6,26,0,2,6,26,1,4,11,52,0.153846154,0.076923077,1,6,5,11,57,1,5.181818182,11,57,2,5.181818182,9,57,2,9,17,99,0.47107438,0.649122807,1,2,1,13,143,2,3,4,33,pdm
3,4,1,1.333333333,2,4,1,1.333333333,2,4,2,2.666666667,4,8,0.444444444,1,1,2,1,4,12,2,3,4,12,3,3,3,12,4,5,6,20,0.75,0.833333333,1,1,0,3,12,2,2,2,8,pdm
3,4,1,1.333333333,2,4,1,1.333333333,2,4,2,2.666666667,4,8,0.444444444,1,1,2,1,4,12,2,3,4,12,3,3,3,12,4,5,6,20,0.75,0.833333333,1,1,0,3,12,2,2,2,8,pdm
11,18,1,1.636363636,2,18,1,1.636363636,2,18,2,3.272727273,4,36,0.148760331,0.222222222,1,1,0,10,40,2,4,8,40,2,4,5,40,3,6.6,11,66,0.4,0.6,1,1,0,11,110,2,2.8,3,28,odm
3,4,1,1.333333333,2,4,1,1.333333333,2,4,2,2.666666667,4,8,0.444444444,1,1,2,1,4,12,2,3,4,12,3,3,3,12,4,5,6,20,0.75,0.833333333,1,1,0,3,12,2,2,2,8,pdm
16,31,1,1.9375,4,31,1,1.9375,4,31,3,3.875,8,62,0.12109375,0.258064516,1,1,0,17,95,2,5.588235294,12,95,2,5.588235294,7,95,3,9.764705882,17,166,0.328719723,0.589473684,1,1,0,16,272,2,2.823529412,3,48,sdm
4,7,1,1.75,2,7,1,1.75,2,7,3,3.5,4,14,0.4375,0.857142857,1,1,0,7,25,3,3.571428571,4,25,3,3.571428571,4,25,5,6.142857143,7,43,0.510204082,0.76,1,1,0,4,28,2,2,2,14,tl
18,36,1,2,4,36,1,2,4,36,3,4,8,72,0.111111111,0.222222222,1,1,0,20,120,2,6,12,120,2,6,7,120,3,10.6,17,212,0.3,0.566666667,1,1,0,18,360,2,2.8,3,56,odm
3,4,1,1.333333333,2,4,1,1.333333333,2,4,2,2.666666667,4,8,0.444444444,1,1,2,1,4,12,2,3,4,12,3,3,3,12,4,5,6,20,0.75,0.833333333,1,1,0,3,12,2,2,2,8,pdm
28,30,0,1.071428571,2,30,0,1.071428571,2,30,1,2.142857143,4,60,0.038265306,0.733333333,13,2,1,26,62,1,2.384615385,4,62,1,2.384615385,3,62,1,3.692307692,5,96,0.091715976,0.967741935,13,1,0,28,728,2,2.153846154,3,56,sdm
22,22,0,1,2,22,0,1,2,22,1,2,3,44,0.045454545,0,4,12,6,22,58,1,2.636363636,3,58,2,2.636363636,4,58,3,4.272727273,6,94,0.119834711,0.689655172,4,6,5,22,484,2,2,2,44,tl
10,27,2,2.7,4,27,0,2.7,4,27,3,4.8,7,48,0.27,0.592592593,1,1,0,16,90,2,5.625,11,90,2,5.625,8,90,4,9.6875,17,155,0.3515625,0.633333333,1,1,0,10,160,2,2.6875,3,43,pdm
3,5,1,1.666666667,3,5,1,1.666666667,2,5,2,3.333333333,5,10,0.555555556,0.8,1,2,1,5,18,2,3.6,5,18,3,3.6,4,18,4,6.2,8,31,0.72,0.833333333,1,1,0,3,15,2,2,2,10,pdm
16,13,0,0.8125,2,13,0,0.8125,2,13,1,1.625,3,26,0.05078125,0.307692308,5,2,1,12,24,1,2,3,24,1,2,3,24,2,2.916666667,5,35,0.166666667,0.791666667,5,1,0,16,192,2,2.083333333,3,25,odm
17,20,0,1.176470588,2,20,0,1.176470588,2,20,1,2.352941176,4,40,0.069204152,0,1,8,5,10,28,2,2.8,4,28,2,2.8,3,28,3,4.1,5,41,0.28,0.535714286,1,1,0,17,170,3,3,3,30,sdm
5,9,1,1.8,4,9,1,1.8,3,9,2,3.6,7,18,0.36,0.888888889,1,4,2,7,33,2,4.714285714,9,33,4,4.714285714,5,33,5,8.285714286,12,58,0.673469388,0.727272727,1,1,0,5,35,2,2.285714286,3,16,sdm
5,13,1,2.6,5,13,0,2.6,5,13,3,5,8,25,0.52,0.230769231,1,1,0,5,29,2,5.8,8,29,3,5.8,9,29,4,9.8,14,49,1.16,0.793103448,1,1,0,5,25,2,3.2,4,16,pdm
10,17,0,1.7,4,17,0,1.7,4,17,2,3.4,5,34,0.17,0.117647059,1,1,0,9,30,2,3.333333333,5,30,1,3.333333333,7,30,2,5.333333333,10,48,0.37037037,0.8,1,3,2,10,90,2,2.666666667,4,24,pdm
30,44,0,1.466666667,7,44,0,1.466666667,5,44,1,2.933333333,11,88,0.048888889,0.136363636,1,18,15,25,99,1,3.96,10,99,1,3.96,10,99,2,6.64,18,166,0.1584,0.747474747,1,7,5,30,750,2,2.52,4,63,pdm
5,7,1,1.4,3,7,1,1.4,2,7,2,2.8,5,14,0.28,0.857142857,2,2,1,7,22,2,3.142857143,5,22,2,3.142857143,4,22,3,5.285714286,8,37,0.448979592,0.863636364,2,1,0,5,35,2,2,2,14,tl
6,8,0,1.333333333,3,8,0,1.333333333,2,8,1,2.666666667,5,16,0.222222222,0.5,2,2,1,8,25,1,3.125,5,25,2,3.125,4,25,3,5.25,8,42,0.390625,0.8,2,1,0,6,48,2,2,2,16,tl
4,8,1,2,5,8,1,2,3,8,2,4,8,16,0.5,0.75,1,3,1,8,38,2,4.75,8,38,4,4.75,5,38,5,8.5,12,68,0.59375,0.736842105,1,1,0,4,32,2,2,2,16,pdm
16,40,0,2.5,8,40,0,2.5,7,40,1,5,9,80,0.15625,0.15,1,4,3,15,93,1,6.2,11,93,3,6.2,10,93,3,10.73333333,19,161,0.413333333,0.741935484,1,1,0,16,240,2,3.2,4,48,odm
2,3,1,1.5,2,3,1,1.5,2,3,3,3,3,6,0.75,0.666666667,1,1,0,3,9,3,3,3,9,3,3,3,9,5,5,5,15,1,1,1,1,0,2,6,2,2,2,6,pdm
23,42,0,1.826086957,6,42,0,1.826086957,4,42,1,3.652173913,10,84,0.079395085,0.047619048,1,7,4,25,134,2,5.36,14,134,2,5.36,9,134,3,9.32,20,233,0.2144,0.559701493,1,3,2,23,575,2,2.68,3,67,pdm
97,260,0,2.680412371,14,260,0,2.680412371,8,260,1,5.360824742,14,520,0.027633117,0.284615385,3,12,8,150,1263,1,8.42,21,1263,2,8.42,19,1263,2,15.42666667,38,2314,0.056133333,0.647664291,3,6,5,97,14550,2,2.733333333,4,410,sdm
14,25,0,1.785714286,6,25,0,1.785714286,6,25,1,3.571428571,7,50,0.12755102,0,1,3,2,16,63,2,3.9375,12,63,2,3.9375,6,63,3,6.8125,13,109,0.24609375,0.587301587,1,1,0,14,224,2,2.5625,4,41,sdm
38,65,0,1.710526316,8,65,0,1.710526316,7,65,1,3.421052632,12,130,0.04501385,0.030769231,1,19,17,48,241,1,5.020833333,11,241,2,5.020833333,14,241,2,8.916666667,21,428,0.104600694,0.68879668,1,3,2,38,1824,2,2.25,4,108,pdm
11,17,1,1.545454545,3,17,0,1.545454545,5,17,1,3.090909091,6,34,0.140495868,0.235294118,1,3,2,11,49,2,4.454545455,8,49,1,4.454545455,7,49,2,7.727272727,13,85,0.404958678,0.795918367,1,2,1,11,121,2,2.545454545,3,28,pdm
10,15,0,1.5,4,15,0,1.5,5,15,1,3,8,30,0.15,0.4,1,5,3,12,54,1,4.5,8,54,2,4.5,8,54,3,7.833333333,13,94,0.375,0.703703704,1,1,0,10,120,2,2.25,3,27,pdm
8,6,0,0.75,2,6,0,0.75,2,6,1,1.5,3,12,0.09375,0,2,5,3,5,11,1,2.2,5,11,1,2.2,3,11,1,3.2,6,16,0.44,0.727272727,2,2,1,8,40,2,2.2,3,11,sdm
35,32,0,0.914285714,2,32,0,0.914285714,2,32,1,1.828571429,4,64,0.026122449,0.25,9,2,1,32,83,1,2.59375,4,83,1,2.59375,4,83,2,4.1875,7,134,0.081054688,0.722891566,9,1,0,35,1120,2,2,2,64,tl
75,108,0,1.44,6,108,0,1.44,5,108,1,2.88,9,216,0.0192,0.518518519,15,1,0,94,438,1,4.659574468,17,438,1,4.659574468,10,438,1,8.244680851,24,775,0.049569941,0.673515982,15,0,0,75,7050,2,2.14893617,3,202,odm
6,5,0,0.833333333,1,5,0,0.833333333,2,5,1,1.666666667,3,10,0.138888889,0,1,5,3,5,12,2,2.4,3,12,1,2.4,4,12,2,3.8,5,19,0.48,0.75,1,3,2,6,30,2,2,2,10,pdm
12,11,0,0.916666667,3,11,0,0.916666667,2,11,1,1.833333333,4,22,0.076388889,0,3,5,2,11,26,1,2.363636364,4,26,1,2.363636364,4,26,2,3.727272727,6,41,0.214876033,0.653846154,3,3,2,12,132,2,2,2,22,pdm
13,18,0,1.384615385,5,18,0,1.384615385,5,18,1,2.769230769,6,36,0.106508876,0.111111111,4,3,1,18,70,1,3.888888889,6,70,1,3.888888889,6,70,2,6.777777778,10,122,0.216049383,0.742857143,4,1,0,13,234,2,2,2,36,pdm
4,3,0,0.75,1,3,0,0.75,3,3,1,1.5,3,6,0.1875,0,1,3,1,3,9,3,3,3,9,3,3,3,9,5,5,5,15,1,1,1,1,0,4,12,2,2,2,6,sdm
25,49,0,1.96,9,49,0,1.96,7,49,1,3.92,13,98,0.0784,0.12244898,1,6,5,24,112,1,4.666666667,10,112,1,4.666666667,10,112,2,7.916666667,17,190,0.194444444,0.803571429,1,9,8,25,600,2,2.75,4,66,odm
6,5,0,0.833333333,2,5,0,0.833333333,2,5,1,1.666666667,3,10,0.138888889,0,2,2,1,5,10,1,2,3,10,1,2,3,10,2,3,4,15,0.4,0.7,2,1,0,6,30,2,2,2,10,pdm
10,13,0,1.3,2,13,0,1.3,4,13,1,2.6,6,26,0.13,0.153846154,1,6,5,8,41,1,5.125,9,41,2,5.125,8,41,2,8.875,15,71,0.640625,0.707317073,1,2,1,10,80,2,2.625,3,21,odm
18,16,0,0.888888889,2,16,0,0.888888889,3,16,1,1.777777778,4,32,0.049382716,0,4,4,2,16,36,1,2.25,4,36,1,2.25,5,36,2,3.5,8,56,0.140625,0.666666667,4,3,2,18,288,2,2,2,32,tl
11,23,0,2.090909091,5,23,0,2.090909091,6,23,1,4.181818182,6,46,0.190082645,0,1,2,1,7,27,2,3.857142857,5,27,1,3.857142857,5,27,2,6.142857143,8,43,0.551020408,0.851851852,1,2,1,11,77,2,3.571428571,5,25,pdm
16,13,0,0.8125,2,13,0,0.8125,2,13,1,1.625,4,26,0.05078125,0,4,5,3,13,28,1,2.153846154,4,28,1,2.153846154,4,28,2,3.307692308,6,43,0.165680473,0.607142857,4,2,1,16,208,2,2,2,26,tl
6,7,0,1.166666667,3,7,0,1.166666667,4,7,1,2.333333333,5,14,0.194444444,0,1,3,1,3,8,1,2.666666667,4,8,2,2.666666667,3,8,3,4,5,12,0.888888889,0.75,1,1,0,6,18,2,3,4,9,sdm
10,8,0,0.8,2,8,0,0.8,1,8,1,1.6,2,16,0.08,0,3,1,0,7,13,1,1.857142857,3,13,1,1.857142857,2,13,1,2.571428571,3,18,0.265306122,0.615384615,3,1,0,10,70,2,2.142857143,3,15,odm
18,26,0,1.444444444,2,26,0,1.444444444,3,26,1,2.888888889,5,52,0.080246914,0.153846154,1,9,7,14,46,1,3.285714286,6,46,1,3.285714286,6,46,2,5.285714286,10,74,0.234693878,0.608695652,1,5,3,18,252,2,2.714285714,4,38,odm
10,10,0,1,2,10,0,1,2,10,1,2,4,20,0.1,0.2,2,5,2,7,18,1,2.571428571,4,18,1,2.571428571,4,18,2,3.857142857,6,27,0.367346939,0.722222222,2,2,1,10,70,2,2.428571429,3,17,odm
38,50,0,1.315789474,3,50,0,1.315789474,3,50,1,2.631578947,6,100,0.034626039,0.24,4,2,1,48,192,1,4,10,192,2,4,9,192,3,6.958333333,17,334,0.083333333,0.739583333,4,1,0,38,1824,2,2.041666667,3,98,pdm
46,59,0,1.282608696,3,59,0,1.282608696,3,59,1,2.565217391,6,118,0.027882798,0.203389831,6,2,1,57,218,1,3.824561404,10,218,2,3.824561404,9,218,3,6.614035088,17,377,0.067097568,0.73853211,6,1,0,46,2622,2,2.035087719,3,116,pdm
11,13,0,1.181818182,2,13,0,1.181818182,3,13,1,2.363636364,5,26,0.107438017,0.153846154,2,4,3,8,26,1,3.25,7,26,1,3.25,5,26,1,5.25,9,42,0.40625,0.692307692,2,2,1,11,88,2,2.625,4,21,ldm
3,2,0,0.666666667,1,2,0,0.666666667,1,2,1,1.333333333,2,4,0.222222222,0,1,2,1,2,3,1,1.5,2,3,1,1.5,2,3,2,2,2,4,0.75,0.666666667,1,1,0,3,6,2,2,2,4,pdm
9,7,0,0.777777778,2,7,0,0.777777778,1,7,1,1.555555556,3,14,0.086419753,0,2,5,3,5,10,1,2,3,10,1,2,3,10,2,2.6,3,13,0.4,0.7,2,2,1,9,45,2,2.4,3,12,pdm
38,50,0,1.315789474,3,50,0,1.315789474,3,50,1,2.631578947,6,100,0.034626039,0.24,4,2,1,48,192,1,4,10,192,2,4,9,192,3,6.958333333,17,334,0.083333333,0.739583333,4,1,0,38,1824,2,2.041666667,3,98,pdm
9,6,0,0.666666667,1,6,0,0.666666667,1,6,1,1.333333333,2,12,0.074074074,0,3,2,1,6,9,1,1.5,2,9,1,1.5,2,9,2,2,2,12,0.25,0.666666667,3,1,0,9,54,2,2,2,12,odm
10,11,0,1.1,3,11,0,1.1,2,11,1,2.2,4,22,0.11,0,1,5,3,6,16,2,2.666666667,5,16,2,2.666666667,3,16,3,3.833333333,6,23,0.444444444,0.5625,1,2,1,10,60,2,2.833333333,3,17,odm
21,22,0,1.047619048,3,22,0,1.047619048,3,22,1,2.095238095,5,44,0.049886621,0.090909091,2,6,4,15,52,2,3.466666667,5,52,1,3.466666667,6,52,2,5.533333333,9,83,0.231111111,0.75,2,3,2,21,315,2,2.466666667,3,37,pdm
10,11,0,1.1,3,11,0,1.1,2,11,1,2.2,4,22,0.11,0,1,5,3,6,16,2,2.666666667,5,16,2,2.666666667,3,16,3,3.833333333,6,23,0.444444444,0.5625,1,2,1,10,60,2,2.833333333,3,17,odm
46,59,0,1.282608696,3,59,0,1.282608696,3,59,1,2.565217391,6,118,0.027882798,0.203389831,6,2,1,57,218,1,3.824561404,10,218,2,3.824561404,9,218,3,6.614035088,17,377,0.067097568,0.73853211,6,1,0,46,2622,2,2.035087719,3,116,pdm
8,8,1,1,1,8,1,1,1,8,2,2,2,16,0.125,1,4,1,0,8,16,2,2,2,16,2,2,2,16,3,3,3,24,0.25,1,4,1,0,8,64,2,2,2,16,tl
17,34,0,2,4,34,0,2,4,34,2,4,7,68,0.117647059,0,1,1,0,17,81,2,4.764705882,7,81,2,4.764705882,8,81,3,8,13,136,0.280276817,0.716049383,1,1,0,17,289,3,3,3,51,pdm
17,48,0,2.823529412,6,48,0,2.823529412,6,48,4,5.647058824,8,96,0.166089965,0,1,1,0,24,184,4,7.666666667,10,184,2,7.666666667,11,184,5,13.66666667,19,328,0.319444444,0.77173913,1,1,0,17,408,3,3,3,72,pdm
43,36,0,0.837209302,2,36,0,0.837209302,3,36,1,1.674418605,4,72,0.019469984,0,11,2,1,36,81,1,2.25,4,81,1,2.25,5,81,2,3.5,8,126,0.0625,0.691358025,11,1,0,43,1548,2,2,2,72,pdm
17,43,0,2.529411765,7,43,0,2.529411765,6,43,1,4.882352941,8,83,0.148788927,0.534883721,1,6,5,23,145,2,6.304347826,13,145,2,6.304347826,11,145,5,11.08695652,20,255,0.274102079,0.737931034,1,2,1,17,391,2,2.739130435,5,63,pdm
4,6,0,1.5,2,6,0,1.5,3,6,2,3,4,12,0.375,0.333333333,1,1,0,3,9,2,3,5,9,2,3,4,9,3,4.666666667,7,14,1,0.888888889,1,2,1,4,12,3,3,3,9,odm
51,46,0,0.901960784,2,46,0,0.901960784,2,46,1,1.803921569,4,92,0.017685506,0.260869565,13,2,1,46,119,1,2.586956522,4,119,1,2.586956522,4,119,2,4.173913043,7,192,0.056238185,0.722689076,13,1,0,51,2346,2,2,2,92,tl
51,46,0,0.901960784,2,46,0,0.901960784,2,46,1,1.803921569,4,92,0.017685506,0.260869565,13,2,1,46,119,1,2.586956522,4,119,1,2.586956522,4,119,2,4.173913043,7,192,0.056238185,0.722689076,13,1,0,51,2346,2,2,2,92,tl
51,46,0,0.901960784,2,46,0,0.901960784,2,46,1,1.803921569,4,92,0.017685506,0.260869565,13,2,1,46,119,1,2.586956522,4,119,1,2.586956522,4,119,2,4.173913043,7,192,0.056238185,0.722689076,13,1,0,51,2346,2,2,2,92,tl
4,6,0,1.5,4,6,0,1.5,2,6,1,3,6,12,0.375,0.333333333,1,3,1,6,22,2,3.666666667,6,22,2,3.666666667,4,22,5,6.333333333,9,38,0.611111111,0.727272727,1,1,0,4,24,2,2,2,12,pdm
21,14,0,0.666666667,1,14,0,0.666666667,1,14,1,1.333333333,2,28,0.031746032,0,7,2,1,14,21,1,1.5,2,21,1,1.5,2,21,2,2,2,28,0.107142857,0.666666667,7,1,0,21,294,2,2,2,28,tl
9,10,0,1.111111111,3,10,0,1.111111111,2,10,1,2.222222222,5,20,0.12345679,0.4,3,2,1,10,28,1,2.8,5,28,1,2.8,4,28,2,4.6,8,46,0.28,0.785714286,3,1,0,9,90,2,2,2,20,tl
11,15,0,1.363636364,3,15,0,1.363636364,3,15,1,2.727272727,6,30,0.123966942,0.266666667,1,8,3,13,56,1,4.307692308,12,56,3,4.307692308,9,56,4,7.538461538,19,98,0.331360947,0.642857143,1,1,0,11,143,2,2.153846154,3,28,odm
26,55,0,2.115384615,12,55,0,2.115384615,8,55,1,4,16,104,0.081360947,0.181818182,1,14,13,28,224,1,8,16,224,1,8,16,224,2,14.25,29,399,0.285714286,0.700892857,1,2,1,26,728,2,2.75,4,77,pdm
33,79,0,2.393939394,12,79,0,2.393939394,10,79,1,4.606060606,20,152,0.072543618,0.126582278,1,17,16,42,437,1,10.4047619,21,437,2,10.4047619,26,437,5,19.07142857,44,801,0.247732426,0.711670481,1,1,0,33,1386,2,2.738095238,4,115,odm
3,2,0,0.666666667,1,2,0,0.666666667,1,2,1,1.333333333,2,4,0.222222222,0,1,2,1,2,3,1,1.5,2,3,1,1.5,2,3,2,2,2,4,0.75,0.666666667,1,1,0,3,6,2,2,2,4,pdm
36,32,0,0.888888889,3,32,0,0.888888889,5,32,1,1.777777778,6,64,0.024691358,0,7,20,10,32,94,1,2.9375,6,94,1,2.9375,7,94,1,4.875,12,156,0.091796875,0.744680851,7,10,9,36,1152,2,2,2,64,pdm
